Key,en,hi,ar,es
Admin Panel,Admin Panel,व्यवस्थापक पैनल,لوحة الادارة,Panel de administrador
Email Address,Email Address,मेल पता,عنوان البريد الإلكتروني,Dirección de correo electrónico
No data found!,No data found!,डाटा प्राप्त नहीं हुआ!,لاتوجد بيانات!,¡Datos no encontrados!
Category Name,Category Name,श्रेणी नाम,اسم التصنيف,nombre de la categoría
Created Time,Created Time,निर्मित समय,وقت الإنشاء,Hora de creación
Symbol,Symbol,प्रतीक,رمز,Símbolo
Default,Default,गलती करना,تقصير,Por defecto
Sender,Sender,प्रेषक,مرسل,Remitente
Receiver,Receiver,रिसीवर,المتلقي,Receptor
Add Car Type,Add Car Type,कार का प्रकार जोड़ें,أضف نوع السيارة,Agregar tipo de auto
placeholder,placeholder,प्लेसहोल्डर,العنصر النائب,marcador de posición
Write Name,Write Name,नाम लिखें,اكتب الاسم,Escribir nombre
text,text,मूलपाठ,نص,texto
Add,Add,जोड़ना,يضيف,Agregar
Edit Car Type,Edit Car Type,कार का प्रकार संपादित करें,تحرير نوع السيارة,Editar tipo de coche
Enter Name,Enter Name,नाम दर्ज करें,أدخل الاسم,Ingrese su nombre
button,button,बटन,زر,botón
Cancel,Cancel,रद्द करना,يلغي,Cancelar
Add Language,Add Language,भाषा जोड़ें,إضافة لغة,Agregar idioma
Edit Language,Edit Language,भाषा संपादित करें,تحرير اللغة,Editar idioma
Add Announcement,Add Announcement,घोषणा जोड़ें,إضافة إعلان,Agregar anuncio
Category,Category,वर्ग,فئة,Categoría
Select Category,Select Category,श्रेणी चुनना,اختر الفئة,selecciona una categoría
Select Announcement Tags,Select Announcement Tags,घोषणा टैग चुनें,حدد علامات الإعلان,Seleccionar etiquetas de anuncio
Add Brand,Add Brand,ब्रांड जोड़ें,أضف علامة تجارية,Agregar marca
Add FAQ Item,Add FAQ Item,FAQ आइटम जोड़ें,إضافة عنصر الأسئلة الشائعة,Agregar artículo de preguntas frecuentes
Add Gallery Item,Add Gallery Item,गैलरी आइटम जोड़ें,إضافة عنصر المعرض,Agregar elemento de galería
Add How We Do Item,Add How We Do Item,हम कैसे करते हैं आइटम जोड़ें,أضف كيف نفعل البند,Agregar artículo Cómo lo hacemos
Add Security Item,Add Security Item,सुरक्षा आइटम जोड़ें,إضافة عنصر الأمان,Agregar elemento de seguridad
Add Service Item,Add Service Item,सेवा मद जोड़ें,إضافة عنصر الخدمة,Agregar artículo de servicio
Add Social Icon,Add Social Icon,सामाजिक चिह्न जोड़ें,إضافة أيقونة الاجتماعية,Agregar ícono social
Add Statistics Item,Add Statistics Item,सांख्यिकी आइटम जोड़ें,إضافة عنصر الإحصائيات,Agregar elemento de estadísticas
Add Testimonial Item,Add Testimonial Item,प्रशंसापत्र आइटम जोड़ें,إضافة عنصر الشهادة,Agregar artículo de testimonio
Add Why Choose Us Item,Add Why Choose Us Item,हमें क्यों चुनें आइटम जोड़ें,أضف سبب اختيارنا للمنتج,Agregar artículo ¿Por qué elegirnos?
Add Page,Add Page,पृष्ठ जोड़ें,إضافة صفحة,Añadir página
Edit Page,Edit Page,संपादित पेज,تعديل الصفحة,Editar página
Add Admin,Add Admin,व्यवस्थापक जोड़ें,إضافة المشرف,Agregar administrador
countryFlag,countryFlag,देश का झंडा,علم الدولة,Bandera del país
Admin Profile Image,Admin Profile Image,व्यवस्थापक प्रोफ़ाइल छवि,صورة الملف الشخصي للمشرف,Imagen de perfil de administrador
Role,Role,भूमिका,دور,Role
Add New Category,Add New Category,नई श्रेणी जोड़ें,إضافة فئة جديدة,Añadir nueva categoria
Add Currency,Add Currency,मुद्रा जोड़ें,أضف العملة,Agregar moneda
Country Flag,Country Flag,देश का झंडा,علم الدولة,Bandera del país
Rate,Rate,दर,معدل,Tasa
Add New Screen,Add New Screen,नई स्क्रीन जोड़ें,إضافة شاشة جديدة,Agregar nueva pantalla
Add New Permission,Add New Permission,नई अनुमति जोड़ें,إضافة إذن جديد,Agregar nuevo permiso
selectRole,selectRole,भूमिका चुनें,حدد الدور,seleccionarRol
Edit Permission,Edit Permission,अनुमति संपादित करें,تحرير إذن,Editar permiso
Add New Role,Add New Role,नई भूमिका जोड़ें,إضافة دور جديد,Agregar nuevo rol
Edit Role,Edit Role,भूमिका संपादित करें,تحرير الدور,Editar rol
Edit Admin,Edit Admin,व्यवस्थापक संपादित करें,تحرير المشرف,Editar administrador
Edit Category,Edit Category,श्रेणी संपादित करें,تحرير الفئة,Editar categoria
Edit Currency,Edit Currency,मुद्रा संपादित करें,تحرير العملة,Editar moneda
Select Country,Select Country,देश चुनें,حدد الدولة,Seleccionar país
Edit Screen,Edit Screen,स्क्रीन संपादित करें,تحرير الشاشة,Editar pantalla
Update Extension,Update Extension,एक्सटेंशन अपडेट करें,تحديث التمديد,Actualizar extensión
Send Email,Send Email,ईमेल भेजें,ارسل بريد الكتروني,Enviar correo electrónico
Close,Close,बंद करना,يغلق,Cerca
Send Test Mail,Send Test Mail,परीक्षण मेल भेजें,إرسال بريد الاختبار,Enviar correo de prueba
"This ticket is solved, you can","This ticket is solved, you can","यह टिकट हल हो गया है, आप कर सकते हैं",تم حل هذه التذكرة، يمكنك,"Este ticket está solucionado, puedes"
Pending Tickets,Pending Tickets,लंबित टिकट,التذاكر المعلقة,Entradas pendientes
View All,View All,सभी को देखें,عرض الكل,Ver todo
Active Tickets,Active Tickets,सक्रिय टिकट,التذاكر النشطة,Entradas activas
Solved Tickets,Solved Tickets,हल टिकट,تذاكر محلولة,Entradas resueltas
All Tickets,All Tickets,सभी टिकट,جميع التذاكر,Todas las entradas
Action,Action,कार्रवाई,فعل,Acción
Mark as Solved,Mark as Solved,हल हो गया के रूप में चिह्नित करें,"وضع علامة ""محلول"".",Marcar como resuelto
Support Details,Support Details,समर्थन विवरण,تفاصيل الدعم,Detalles de soporte
Subject,Subject,विषय,موضوع,Sujeto
Description,Description,विवरण,وصف,Descripción
Attachments,Attachments,संलग्नक,المرفقات,Archivos adjuntos
Admin,Admin,व्यवस्थापक,مسؤل,Administración
Developed by,Developed by,द्वारा विकसित,طورت بواسطة,Desarrollado por
Settings,Settings,समायोजन,إعدادات,Ajustes
Layout Mode,Layout Mode,लेआउट मोड,وضع التخطيط,Modo de diseño
Dark Mode,Dark Mode,डार्क मोड,الوضع المظلم,Modo oscuro
Topbar Color,Topbar Color,टॉपबार रंग,لون الشريط العلوي,Color de la barra superior
Light Mode,Light Mode,लाइट मोड,وضع الضوء,Modo de luz
Sidebar Color,Sidebar Color,साइडबार का रंग,لون الشريط الجانبي,Color de la barra lateral
Min Sidebar Color,Min Sidebar Color,न्यूनतम साइडबार रंग,الحد الأدنى للون الشريط الجانبي,Color mínimo de la barra lateral
Direction,Direction,दिशा,اتجاه,Dirección
RTL Support,RTL Support,आरटीएल समर्थन,دعم RTL,Soporte RTL
Reset To Default,Reset To Default,वितथ पर ले जाएं,إعادة تعيين إلى الافتراضي,Restablecen a los predeterminados
Notification,Notification,अधिसूचना,إشعار,Notificación
Clear All,Clear All,सभी साफ करें,امسح الكل,Limpiar todo
No new notification found!,No new notification found!,कोई नई अधिसूचना नहीं मिली!,لم يتم العثور على إشعار جديد!,¡No se encontró ninguna notificación nueva!
Admin Profile,Admin Profile,व्यवस्थापक प्रोफ़ाइल,الملف الشخصي للمسؤول,Perfil de administrador
Change Password,Change Password,पासवर्ड बदलें,تغيير كلمة المرور,Cambiar la contraseña
Setup Currency,Setup Currency,सेटअप मुद्रा,عملة الإعداد,Configuración de moneda
Booking Details,Booking Details,बुकिंग विवरण,تفاصيل الحجز,Detalles de la reserva
Car Booking,Car Booking,कार बुकिंग,حجز السيارات,Reserva de coche
Setup Web Content,Setup Web Content,वेब सामग्री सेटअप करें,إعداد محتوى الويب,Configurar contenido web
Banner Section,Banner Section,बैनर अनुभाग,قسم البانر,Sección de pancartas
About Section,About Section,अनुभाग के बारे में,حول القسم,Acerca de la sección
Security Section,Security Section,सुरक्षा अनुभाग,قسم الأمن,Sección de Seguridad
Service Section,Service Section,सेवा अनुभाग,قسم الخدمة,Sección de Servicio
Statistics Section,Statistics Section,सांख्यिकी अनुभाग,قسم الإحصائيات,Sección de Estadísticas
Contact Section,Contact Section,संपर्क अनुभाग,قسم الاتصال,Sección de contacto
Why Choose Us Section,Why Choose Us Section,हमें क्यों चुनें अनुभाग,لماذا تختارنا القسم,Sección Por qué elegirnos
FAQ Section,FAQ Section,अक्सर पूछे जाने वाले प्रश्न अनुभाग,قسم الأسئلة الشائعة,Sección de preguntas frecuentes
App Section,App Section,ऐप अनुभाग,قسم التطبيقات,Sección de aplicaciones
Testimonial Section,Testimonial Section,प्रशंसापत्र अनुभाग,قسم الشهادة,Sección de testimonios
Announcement  Category,Announcement  Category,घोषणा श्रेणी,فئة الإعلان,Categoría de anuncio
Announcement Section,Announcement Section,घोषणा अनुभाग,قسم الإعلان,Sección de anuncios
Footer Section,Footer Section,पाद अनुभाग,قسم التذييل,Sección de pie de página
Auth Section,Auth Section,प्रामाणिक अनुभाग,قسم المصادقة,Sección de autenticación
Bonus,Bonus,बक्शीश,علاوة,Prima
Admin Care,Admin Care,व्यवस्थापक देखभाल,رعاية المشرف,Atención administrativa
All Admin Roles,All Admin Roles,सभी व्यवस्थापक भूमिकाएँ,جميع أدوار المشرف,Todas las funciones de administrador
All Permissions,All Permissions,सभी अनुमतियाँ,جميع الأذونات,Todos los permisos
Email To Admin,Email To Admin,एडमिन को ईमेल करें,البريد الإلكتروني إلى المشرف,Enviar correo electrónico al administrador
All Admin,All Admin,सभी व्यवस्थापक,كل المشرف,Todos los administradores
App Settings,App Settings,एप्लिकेशन सेटिंग,إعدادات التطبيقات,Ajustes de Aplicacion
Onboard Screen,Onboard Screen,ऑनबोर्ड स्क्रीन,شاشة على متن الطائرة,Pantalla integrada
Splash Screen,Splash Screen,स्प्लैश स्क्रीन,شاشة البداية,Pantalla de bienvenida
App Urls,App Urls,ऐप यूआरएल,عناوين URL للتطبيق,URL de aplicaciones
Car Area,Car Area,कार क्षेत्र,منطقة السيارة,Área de autos
Car Area Create,Car Area Create,कार क्षेत्र बनाएँ,إنشاء منطقة السيارة,Crear área de coche
Area Name,Area Name,क्षेत्र का नाम,اسم المنطقة,Nombre del área
Type,Type,प्रकार,يكتب,Tipo
Car Area Edit,Car Area Edit,कार क्षेत्र संपादित करें,تحرير منطقة السيارة,Área del coche Editar
Add Area,Add Area,क्षेत्र जोड़ें,أضف منطقة,Agregar área
Last Edit By,Last Edit By,अंतिम संपादन द्वारा,التعديل الأخير بواسطة,Última edición por
Enable,Enable,सक्षम,يُمكَِن,Permitir
Disable,Disable,अक्षम करना,إبطال,Desactivar
Bookings,Bookings,बुकिंग के,الحجوزات,Reservaciones
Car Model,Car Model,कार के मॉडल,طراز السيارة,Modelo de auto
Created At,Created At,पर बनाया गया,أنشئت في,Creado en
Send Reply,Send Reply,उत्तर भेजें,إرسال الرد,Enviar respuesta
Write Subject,Write Subject,विषय लिखें,كتابة الموضوع,Escribir Asunto
Details,Details,विवरण,تفاصيل,Detalles
Car Information,Car Information,कार की जानकारी,معلومات السيارة,Información del coche
Model,Model,नमूना,نموذج,Modelo
Number,Number,संख्या,رقم,Número
Seat Number,Seat Number,सीट संख्या,رقم المقعد,Número de asiento
Experience Year,Experience Year,अनुभव वर्ष,سنة الخبرة,Año de experiencia
Booking Information,Booking Information,बुकिंग जानकारी,معلومات الحجز,Infomación sobre reservas
Location,Location,जगह,موقع,Ubicación
Destination,Destination,गंतव्य,وجهة,Destino
Phone,Phone,फ़ोन,هاتف,Teléfono
Round Trip Date,Round Trip Date,राउंड ट्रिप की तारीख,تاريخ الرحلة ذهابًا وإيابًا,Fecha de ida y vuelta
Round Trip Time,Round Trip Time,राउंड ट्रिप समय,وقت الجولة,Tiempo de viaje
Car Types,Car Types,कार के प्रकार,أنواع السيارات,Tipos de coches
Add Type,Add Type,प्रकार जोड़ें,أضف النوع,Agregar tipo
Cars,Cars,कारें,سيارات,Carros
Car Create,Car Create,कार बनाएं,إنشاء سيارة,Crear coche
Image,Image,छवि,صورة,Imagen
Select Area,Select Area,क्षेत्र का चयन करें,حدد المنطقة,Seleccionar área
Select Type,Select Type,प्रकार चुनें,اختر صنف,Seleccione tipo
Write Car Model,Write Car Model,कार मॉडल लिखें,كتابة موديل السيارة,Escribir modelo de coche
Car Number,Car Number,कार का नबंर,رقم السياره,Número de coche
Write Seat Number,Write Seat Number,सीट नंबर लिखें,كتابة رقم الجلوس,Escribir número de asiento
Write Experience Year,Write Experience Year,अनुभव वर्ष लिखें,كتابة سنة الخبرة,Escribir año de experiencia
Car Fees,Car Fees,कार शुल्क,رسوم السيارة,Tarifas de coche
Write Fees,Write Fees,फीस लिखें,كتابة الرسوم,Escribir tarifas
Car Edit,Car Edit,कार संपादित करें,تحرير السيارة,Coche Editar
Write Car number,Write Car number,कार का नंबर लिखें,كتابة رقم السيارة,Escribir número de auto
Add Car,Add Car,कार जोड़ें,أضف سيارة,Añadir coche
Public,Public,जनता,عام,Público
Booking Verification,Booking Verification,बुकिंग सत्यापन,التحقق من الحجز,Verificación de reserva
Need to verify your account. Please check your mail inbox to get the authorization code,Need to verify your account. Please check your mail inbox to get the authorization code,अपना खाता सत्यापित करने की आवश्यकता है. कृपया प्राधिकरण कोड प्राप्त करने के लिए अपना मेल इनबॉक्स जांचें,تحتاج إلى التحقق من حسابك. يرجى التحقق من صندوق البريد الوارد الخاص بك للحصول على رمز التفويض,Necesita verificar su cuenta. Por favor revise su bandeja de entrada de correo para obtener el código de autorización.
You can resend the code after,You can resend the code after,आप इसके बाद कोड दोबारा भेज सकते हैं,يمكنك إعادة إرسال الرمز بعد ذلك,Puedes reenviar el código después
Time,Time,समय,وقت,Tiempo
Back to,Back to,वापस,ارجع الى,De regreso
login,login,लॉग इन करें,تسجيل الدخول,acceso
Home,Home,घर,بيت,Hogar
Contact Messages,Contact Messages,संपर्क संदेश,رسائل الاتصال,Mensajes de contacto
Messages,Messages,संदेशों,رسائل,Mensajes
Message Details,Message Details,संदेश विवरण,تفاصيل الرسالة,Detalles del mensaje
Reply Message,Reply Message,प्रतिक्रिया संदेश,رسالة الرد,Mensaje de respuesta
Sent,Sent,भेजा,مرسل,Enviado
GDPR Cookie,GDPR Cookie,जीडीपीआर कुकी,ملف تعريف الارتباط الناتج عن اللائحة العامة لحماية البيانات,Cookie RGPD
Policy Link,Policy Link,नीति लिंक,رابط السياسة,Enlace de política
Total Users,Total Users,कुल उपयोगकर्ता,إجمالي المستخدمين,Usuarios totales
Active Users,Active Users,सक्रिय उपयोगकर्ता,المستخدمين النشطين,Usuarios activos
Total,Total,कुल,المجموع,Total
Verified Users,Verified Users,सत्यापित उपयोगकर्ता,المستخدمون الذين تم التحقق منهم,Usuarios verificados
Banned Users,Banned Users,प्रतिबंधित उपयोगकर्ता,المستخدمون المحظورون,Usuarios prohibidos
Total Announcements,Total Announcements,कुल घोषणाएँ,إجمالي الإعلانات,Anuncios totales
Active Announcements,Active Announcements,सक्रिय घोषणाएँ,الإعلانات النشطة,Anuncios activos
Banned Announcements,Banned Announcements,प्रतिबंधित घोषणाएँ,اعلانات محظورة,Anuncios prohibidos
Total Subscribers,Total Subscribers,कुल सदस्य,إجمالي المشتركين,Suscriptores totales
This Month,This Month,इस महीने,هذا الشهر,Este mes
This Year,This Year,इस साल,هذا العام,Este año
Total Messages,Total Messages,कुल संदेश,إجمالي الرسائل,Mensajes totales
Replied,Replied,उत्तर दिया,أجاب,Respondió
Replied Messages,Replied Messages,उत्तर दिए गए संदेश,تم الرد على الرسائل,Mensajes respondidos
Unanswered Messages,Unanswered Messages,अनुत्तरित संदेश,رسائل لم يتم الرد عليها,Mensajes sin respuesta
Total Areas,Total Areas,कुल क्षेत्रफल,إجمالي المساحات,Áreas Totales
Active Areas,Active Areas,सक्रिय क्षेत्र,المناطق النشطة,Áreas Activas
Banned Areas,Banned Areas,प्रतिबंधित क्षेत्र,المناطق المحظورة,Áreas prohibidas
Total Car Types,Total Car Types,कुल कार प्रकार,إجمالي أنواع السيارات,Tipos totales de automóviles
Active Car Types,Active Car Types,सक्रिय कार के प्रकार,أنواع السيارات النشطة,Tipos de autos activos
Banned Car Types,Banned Car Types,प्रतिबंधित कारों के प्रकार,أنواع السيارات المحظورة,Tipos de automóviles prohibidos
Total Cars,Total Cars,कुल कारें,مجموع السيارات,Coches totales
Active Cars,Active Cars,सक्रिय कारें,السيارات النشطة,Coches activos
Banned Cars,Banned Cars,प्रतिबंधित कारें,السيارات المحظورة,Coches prohibidos
Instructions,Instructions,निर्देश,تعليمات,Instrucciones
Languages,Languages,बोली,اللغات,Idiomas
Language Keywords of English,Language Keywords of English,अंग्रेजी के भाषाई कीवर्ड,الكلمات الرئيسية للغة الإنجليزية,Palabras clave del idioma inglés
Password Change,Password Change,पासवर्ड परिवर्तन,تغيير كلمة السر,Cambio de contraseña
Save & Change,Save & Change,परिवर्तन को संग्रहित करें,حفظ وتغيير,Guardar cambios
State,State,राज्य,ولاية,Estado
City,City,शहर,مدينة,Ciudad
Push Notification,Push Notification,सर्वर पुश नोटीफिकेशन,دفع الإخطار,Notificación de inserción
Browser Push Notification Configuration,Browser Push Notification Configuration,ब्राउज़र पुश अधिसूचना कॉन्फ़िगरेशन,تكوين إشعارات المتصفح,Configuración de notificaciones push del navegador
Method,Method,तरीका,طريقة,Método
Send Notification,Send Notification,अधिसूचना भेजें,إرسال الإخطار,Enviar notificación
Latest Notifications,Latest Notifications,नवीनतम सूचनाएं,أحدث الإخطارات,Últimas notificaciones
Server Info,Server Info,सर्वर जानकारी,معلومات الخادم,Información del servidor
Version,Version,संस्करण,إصدار,Versión
App Name,App Name,एप्लिकेशन का नाम,اسم التطبيق,Nombre de la aplicación
App Environment,App Environment,ऐप पर्यावरण,بيئة التطبيق,Entorno de aplicación
App Debug,App Debug,ऐप डीबग,تصحيح أخطاء التطبيق,Depuración de aplicaciones
App Mode,App Mode,ऐप मोड,وضع التطبيق,Modo de aplicación
Database Connection,Database Connection,डेटाबेस कनेक्शन,اتصال قاعدة البيانات,Conexión de base de datos
Database Host,Database Host,डेटाबेस होस्ट,مضيف قاعدة البيانات,Host de base de datos
Database Port,Database Port,डेटाबेस पोर्ट,منفذ قاعدة البيانات,Puerto de base de datos
Database Name,Database Name,डेटाबेस का नाम,اسم قاعدة البيانات,Nombre de la base de datos
Database Username,Database Username,डेटाबेस उपयोगकर्ता नाम,اسم مستخدم قاعدة البيانات,Nombre de usuario de la base de datos
PHP Version,PHP Version,पीएचपी संस्करण,نسخة PHP,Versión PHP
Laravel Version,Laravel Version,लारवेल संस्करण,نسخة لارافيل,Versión Laravel
Server Software,Server Software,सर्वर सॉफ्टवेयर,برامج الخادم,Software de servidor
Server IP Address,Server IP Address,सर्वर आईपी पता,عنوان IP للخادم,Dirección IP del servidor
Server Protocol,Server Protocol,सर्वर प्रोटोकॉल,بروتوكول الخادم,Protocolo de servidor
Timezone,Timezone,समय क्षेत्र,وحدة زمنية,Zona horaria
Setup Email,Setup Email,सेटअप ईमेल,إعداد البريد الإلكتروني,Configurar correo electrónico
Email Method,Email Method,ईमेल विधि,طريقة البريد الإلكتروني,Método de correo electrónico
Email Send Method,Email Send Method,ईमेल भेजने की विधि,طريقة إرسال البريد الإلكتروني,Método de envío de correo electrónico
Setup Pages,Setup Pages,पेज सेटअप करें,صفحات الإعداد,Páginas de configuración
Announcement Category,Announcement Category,घोषणा श्रेणी,فئة الإعلان,Categoría de anuncio
Setup Announcement Section,Setup Announcement Section,सेटअप घोषणा अनुभाग,قسم إعلان الإعداد,Sección de anuncio de configuración
Brand Section,Brand Section,ब्रांड अनुभाग,قسم العلامات التجارية,Sección de marca
Edit Brand,Edit Brand,ब्रांड संपादित करें,تحرير العلامة التجارية,Editar marca
Edit FAQ Item,Edit FAQ Item,अक्सर पूछे जाने वाले प्रश्न आइटम संपादित करें,تحرير عنصر الأسئلة الشائعة,Editar artículo de preguntas frecuentes
Icon,Icon,आइकन,أيقونة,Icono
